year,county,collisions,deaths,injuries,population
2013,Carlow,60,2,89,54612
2013,Dublin,1156,19,1410,1273069
2013,Kildare,227,15,337,210312
2013,Kilkenny,88,4,119,95419
2013,Laois,82,2,95,80559
2013,Longford,49,2,86,39000
2013,Louth,197,4,294,122897
2013,Meath,167,9,227,184135
2013,Offaly,97,5,135,76687
2013,Westmeath,70,5,105,86164
2013,Wexford,139,7,201,145320
2013,Wicklow,140,6,183,136640
2013,Clare,115,2,182,117196
2013,Cork,544,18,707,519032
2013,Kerry,174,14,250,145502
2013,Limerick,287,6,401,191809
2013,Tipperary,180,12,248,158754
2013,Waterford,131,2,195,113795
2013,Galway,314,13,467,250541
2013,Leitrim,34,2,40,31796
2013,Mayo,150,6,216,130638
2013,Roscommon,79,4,119,64065
2013,Sligo,90,5,149,65393
2013,Cavan,98,3,163,73183
2013,Donegal,232,13,355,161137
2013,Monaghan,76,8,107,60483
2014,Carlow,69,5,103,54612
2014,Dublin,1737,29,2125,1273069
2014,Kildare,226,4,335,210312
2014,Kilkenny,98,3,137,95419
2014,Laois,91,7,150,80559
2014,Longford,63,4,102,39000
2014,Louth,203,6,318,122897
2014,Meath,220,5,330,184135
2014,Offaly,65,2,107,76687
2014,Westmeath,108,6,161,86164
2014,Wexford,162,4,225,145320
2014,Wicklow,162,7,202,136640
2014,Clare,119,5,173,117196
2014,Cork,587,19,816,519032
2014,Kerry,230,14,347,145502
2014,Limerick,291,10,400,191809
2014,Tipperary,193,14,266,158754
2014,Waterford,126,6,165,113795
2014,Galway,321,5,515,250541
2014,Leitrim,38,1,56,31796
2014,Mayo,144,12,216,130638
2014,Roscommon,78,6,141,64065
2014,Sligo,68,1,100,65393
2014,Cavan,108,1,166,73183
2014,Donegal,209,9,310,161137
2014,Monaghan,81,8,113,60483
2015,Carlow,65,4,95,54612
2015,Dublin,1753,17,2143,1273069
2015,Kildare,229,9,343,210312
2015,Kilkenny,131,2,166,95419
2015,Laois,76,4,96,80559
2015,Longford,75,5,136,39000
2015,Louth,167,6,245,122897
2015,Meath,220,8,303,184135
2015,Offaly,72,4,94,76687
2015,Westmeath,111,5,160,86164
2015,Wexford,184,7,234,145320
2015,Wicklow,163,8,191,136640
2015,Clare,104,2,158,117196
2015,Cork,553,15,717,519032
2015,Kerry,213,8,279,145502
2015,Limerick,267,4,355,191809
2015,Tipperary,177,4,237,158754
2015,Waterford,160,0,228,113795
2015,Galway,336,12,479,250541
2015,Leitrim,54,3,86,31796
2015,Mayo,157,13,227,130638
2015,Roscommon,79,1,114,64065
2015,Sligo,71,2,124,65393
2015,Cavan,113,4,168,73183
2015,Donegal,200,11,318,161137
2015,Monaghan,101,4,144,60483
