Quarter,region,Sexual offences,"Attempts/threats to murder, assaults, harassments and related offences",Driving/in charge of a vehicle while over legal alcohol limit,Driving/in charge of a vehicle under the influence of drugs,Endangering traffic offences,"Robbery, extortion and hijacking offences",Burglary and related offences,Theft and related offences,Theft/taking of vehicle and related offences,Controlled drug offences,Public order and other social code offences,Disorderly conduct
2009Q1,Cavan/Monaghan,13,192,194,4,1,2,135,284,52,55,427,384
2009Q1,Donegal,12,232,159,1,2,8,116,366,79,97,594,534
2009Q1,Sligo/Leitrim,12,112,93,1,1,6,107,219,19,55,268,236
2009Q1,Louth,14,136,146,1,2,14,210,514,118,130,374,332
2009Q1,Clare,9,106,87,11,0,7,93,310,33,97,367,319
2009Q1,Mayo,11,158,94,1,1,3,98,293,39,50,305,264
2009Q1,Galway,18,224,200,6,6,14,250,753,89,120,955,873
2009Q1,Roscommon/Longford,10,129,73,2,0,3,127,234,18,39,197,151
2009Q1,Cork City,23,312,167,7,2,27,220,1210,178,374,1058,966
2009Q1,Cork North,8,109,131,11,0,1,73,280,54,155,356,306
2009Q1,Cork West,11,108,72,3,4,0,61,222,19,125,309,264
2009Q1,Kerry,13,157,106,3,0,4,90,310,36,130,509,452
2009Q1,Limerick,29,234,172,17,3,35,359,1024,236,272,818,691
2009Q1,Laois/Offaly,19,136,86,7,9,11,184,460,99,154,315,253
2009Q1,Meath,29,138,148,12,3,25,213,628,145,185,328,265
2009Q1,Wicklow,11,151,99,12,1,11,247,601,95,227,425,375
2009Q1,Westmeath,11,95,90,10,0,14,109,315,40,74,314,286
2009Q1,Kildare,21,178,130,4,8,37,368,725,181,142,339,284
2009Q1,Tipperary,14,152,142,27,4,5,152,341,38,188,350,310
2009Q1,Wexford,11,117,116,11,4,3,174,451,67,168,369,299
2009Q1,Kilkenny/Carlow,11,146,138,7,0,17,297,543,67,157,387,338
2009Q1,Waterford,18,167,105,8,0,10,181,482,68,325,585,503
2009Q1,D.M.R. South Central,12,262,113,11,6,71,421,1542,126,371,1128,1011
2009Q1,D.M.R. North Central,16,171,93,14,2,62,275,1560,209,275,825,667
2009Q1,D.M.R. Northern,32,287,262,17,0,84,555,1414,376,554,978,811
2009Q1,D.M.R. Southern,17,221,169,16,5,64,597,1145,341,495,670,556
2009Q1,D.M.R. Eastern,9,129,79,3,4,22,333,764,114,161,576,513
2009Q1,D.M.R. Western,23,217,288,20,3,89,479,1845,600,587,760,651
2009Q2,Cavan/Monaghan,6,150,154,9,1,4,128,280,47,65,455,412
2009Q2,Donegal,16,244,150,0,3,2,135,331,60,187,572,498
2009Q2,Sligo/Leitrim,5,104,96,0,0,2,91,265,25,56,285,242
2009Q2,Louth,52,156,139,2,2,11,256,613,154,143,494,414
2009Q2,Clare,12,138,70,9,1,4,137,300,47,108,395,352
2009Q2,Mayo,3,144,92,1,1,5,91,301,34,56,330,279
2009Q2,Galway,21,225,195,2,2,8,306,757,81,94,952,862
2009Q2,Roscommon/Longford,2,83,56,1,0,5,125,263,42,53,196,156
2009Q2,Cork City,22,292,153,6,0,36,254,1165,143,423,1025,918
2009Q2,Cork North,7,131,135,11,1,4,76,270,27,136,363,323
2009Q2,Cork West,7,120,82,3,2,5,69,218,29,144,302,256
2009Q2,Kerry,8,139,92,2,4,9,106,281,36,103,469,415
2009Q2,Limerick,21,239,128,15,1,34,378,1131,222,222,704,597
2009Q2,Laois/Offaly,9,153,86,10,2,7,154,507,89,273,324,280
2009Q2,Meath,7,132,122,7,2,11,257,591,123,178,331,274
2009Q2,Wicklow,11,164,113,10,3,16,253,665,110,179,410,359
2009Q2,Westmeath,10,122,73,10,3,4,128,276,47,81,239,220
2009Q2,Kildare,13,178,102,5,1,38,395,790,159,132,305,265
2009Q2,Tipperary,13,134,120,23,5,7,173,324,53,188,408,368
2009Q2,Wexford,11,148,120,9,2,7,180,457,58,137,362,291
2009Q2,Kilkenny/Carlow,10,164,119,7,0,12,264,544,90,138,460,391
2009Q2,Waterford,12,163,81,7,1,15,198,539,87,195,531,449
2009Q2,D.M.R. South Central,17,232,115,10,4,58,452,1608,113,350,1111,984
2009Q2,D.M.R. North Central,15,173,104,9,3,70,274,1662,175,344,712,578
2009Q2,D.M.R. Northern,34,270,297,24,4,67,511,1551,368,434,970,817
2009Q2,D.M.R. Southern,21,240,128,15,1,56,576,1159,313,441,527,425
2009Q2,D.M.R. Eastern,20,116,68,5,5,10,273,869,110,152,495,412
2009Q2,D.M.R. Western,35,257,260,35,10,85,481,1818,538,591,719,598
2009Q3,Cavan/Monaghan,15,153,136,3,2,2,119,315,47,59,383,330
2009Q3,Donegal,11,226,137,0,4,6,143,400,62,102,524,438
2009Q3,Sligo/Leitrim,8,107,58,2,3,5,91,291,32,57,272,235
2009Q3,Louth,48,146,140,1,1,15,233,584,122,148,415,343
2009Q3,Clare,1,124,80,4,4,9,111,336,39,103,331,289
2009Q3,Mayo,8,134,83,1,1,1,113,302,34,43,362,321
2009Q3,Galway,12,235,154,5,1,4,370,779,95,114,861,770
2009Q3,Roscommon/Longford,5,87,60,1,1,2,147,213,36,47,201,152
2009Q3,Cork City,19,267,154,9,0,26,237,1136,152,327,1016,924
2009Q3,Cork North,11,124,104,5,0,1,78,255,26,153,395,342
2009Q3,Cork West,7,101,53,3,1,1,61,203,15,93,276,224
2009Q3,Kerry,10,143,99,2,1,10,89,301,36,139,600,523
2009Q3,Limerick,17,249,126,18,0,42,425,1068,234,250,720,604
2009Q3,Laois/Offaly,8,137,70,5,1,6,197,445,89,106,313,269
2009Q3,Meath,9,136,111,9,4,11,234,639,153,104,289,238
2009Q3,Wicklow,9,142,82,5,3,13,312,554,75,161,395,334
2009Q3,Westmeath,4,90,81,9,2,10,139,317,28,68,251,217
2009Q3,Kildare,11,176,110,2,2,43,451,749,161,159,296,259
2009Q3,Tipperary,13,141,126,16,3,11,199,341,52,189,456,402
2009Q3,Wexford,13,135,94,8,0,4,226,474,61,87,322,264
2009Q3,Kilkenny/Carlow,12,212,96,5,0,17,277,592,80,126,487,401
2009Q3,Waterford,13,162,66,4,2,17,218,567,56,251,472,416
