region,gaurds,year
Dublin,3613,2009
Kildare,271,2009
Kilkenny/Carlow,265,2009
Laois/Offaly,264,2009
Meath,261,2009
Waterford,256,2009
Westmeath,213,2009
Wexford,233,2009
Wicklow,302,2009
Cavan/Monaghan,330,2009
Donegal,390,2009
Galway,502,2009
Louth,251,2009
Mayo,254,2009
Roscommon/Longford,239,2009
Sligo/Leitrim,256,2009
Clare,286,2009
Cork,1086,2009
Kerry,282,2009
Limerick,544,2009
Tipperary,319,2009
Dublin,3390,2011
Kildare,269,2011
Kilkenny/Carlow,254,2011
Laois/Offaly,250,2011
Meath,247,2011
Waterford,241,2011
Westmeath,210,2011
Wexford,222,2011
Wicklow,283,2011
Cavan/Monaghan,284,2011
Donegal,369,2011
Galway,493,2011
Louth,246,2011
Mayo,254,2011
Roscommon/Longford,232,2011
Sligo/Leitrim,256,2011
Clare,263,2011
Cork,1074,2011
Kerry,264,2011
Limerick,536,2011
Tipperary,310,2011
Dublin,3290,2012
Kildare,267,2012
Kilkenny/Carlow,249,2012
Laois/Offaly,243,2012
Meath,245,2012
Waterford,238,2012
Westmeath,207,2012
Wexford,214,2012
Wicklow,279,2012
Cavan/Monaghan,274,2012
Donegal,359,2012
Galway,486,2012
Louth,238,2012
Mayo,249,2012
Roscommon/Longford,225,2012
Sligo/Leitrim,249,2012
Clare,253,2012
Cork,1054,2012
Kerry,252,2012
Limerick,515,2012
Tipperary,308,2012
Dublin,3157,2013
Kildare,261,2013
Kilkenny/Carlow,240,2013
Laois/Offaly,235,2013
Meath,235,2013
Waterford,228,2013
Westmeath,201,2013
Wexford,206,2013
Wicklow,274,2013
Cavan/Monaghan,261,2013
Donegal,344,2013
Galway,481,2013
Louth,232,2013
Mayo,254,2013
Roscommon/Longford,231,2013
Sligo/Leitrim,248,2013
Clare,250,2013
Cork,1033,2013
Kerry,246,2013
Limerick,504,2013
Tipperary,307,2013
Dublin,2991,2014
Kildare,248,2014
Kilkenny/Carlow,229,2014
Laois/Offaly,222,2014
Meath,228,2014
Waterford,223,2014
Westmeath,198,2014
Wexford,202,2014
Wicklow,265,2014
Cavan/Monaghan,254,2014
Donegal,330,2014
Galway,469,2014
Louth,222,2014
Mayo,244,2014
Roscommon/Longford,227,2014
Sligo/Leitrim,239,2014
Clare,242,2014
Cork,1007,2014
Kerry,238,2014
Limerick,476,2014
Tipperary,299,2014
Dublin,2945,2015
Kildare,260,2015
Kilkenny/Carlow,235,2015
Laois/Offaly,229,2015
Meath,230,2015
Waterford,233,2015
Westmeath,198,2015
Wexford,210,2015
Wicklow,263,2015
Cavan/Monaghan,253,2015
Donegal,331,2015
Galway,465,2015
Louth,231,2015
Mayo,249,2015
Roscommon/Longford,236,2015
Sligo/Leitrim,238,2015
