county,year,full_licence,Under 17 years,17 - 20 years,21 - 24 years,25 - 29 years,30 - 39 years,40 - 49 years,50 - 59 years,60 - 69 years,70 - 79 years,80 years and over,learner
Carlow,2013,32543,0,390,1517,3034,7986,7129,5623,4167,2101,596,3333
Dublin,2013,585835,0,4378,19429,46949,147133,132721,105769,77507,39288,12661,64618
Kildare,2013,110204,0,1103,4311,9559,27450,27748,19861,13627,5296,1249,10529
Kilkenny,2013,50544,0,753,2502,4494,11377,10730,9233,6858,3501,1096,4698
Laois,2013,38520,0,427,1729,3648,9518,8540,6769,4752,2361,776,3926
Longford,2013,20564,0,276,970,2006,4852,4111,3401,3034,1466,448,1975
Louth,2013,60424,0,556,2473,5182,14314,14354,10747,7870,3821,1107,5729
Meath,2013,97192,0,1167,4089,8121,23945,24154,17095,11845,5355,1421,8320
Offaly,2013,39831,0,523,1927,3797,9459,8722,6996,5056,2592,759,3872
Westmeath,2013,45887,0,575,2088,4203,10985,10093,8245,5866,2926,906,4185
Wexford,2013,80271,0,1209,3863,7082,17690,17471,14387,10837,6081,1651,7177
Wicklow,2013,74518,0,864,3042,5892,16844,17412,14056,10148,5011,1249,6552
Clare,2013,67553,0,1158,3338,5954,14851,14881,12074,9509,4529,1259,5016
Cork,2013,284697,0,4616,13790,25142,65949,61618,50382,38101,19183,5916,24077
Kerry,2013,83093,0,1244,4049,7567,18134,16860,15215,12154,6053,1817,6406
Limerick,2013,102890,0,1628,4939,9549,24429,21018,18099,14231,7017,1980,8432
Tipperary,2013,89039,0,1204,4266,8091,19672,18278,16160,12577,6612,2179,8359
Waterford,2013,61708,0,852,2869,5450,14419,13380,10840,8172,4422,1304,5275
Galway,2013,138145,0,1861,6604,13249,34340,29835,23772,17492,8565,2427,11191
Leitrim,2013,18286,0,300,973,1719,4011,3627,3276,2586,1357,437,1361
Mayo,2013,74122,0,1324,4249,7652,15981,13951,13285,10617,5398,1665,5547
Roscommon,2013,36569,0,632,1916,3567,7806,7019,6667,5282,2743,937,2661
Sligo,2013,37364,0,613,1934,3498,8118,7201,6932,5465,2753,850,2537
Cavan,2013,38585,0,612,2075,3781,8990,7961,6733,5103,2500,830,3685
Donegal,2013,88505,0,1539,4786,9197,20047,18207,15005,12037,6015,1672,6091
Monaghan,2013,34830,0,689,2107,3619,7910,6686,6059,4810,2258,692,2582
Carlow,2014,33032,0,357,1478,2851,8010,7324,5806,4283,2258,665,3619
Dublin,2014,604585,0,4600,19079,45815,149100,137832,110181,80759,42928,14291,68603
Kildare,2014,114765,0,1255,4368,9104,27980,28999,20826,14581,6163,1489,11926
Kilkenny,2014,52406,0,802,2486,4475,11402,11176,9655,7230,3930,1250,5145
Laois,2014,39983,0,492,1671,3509,9761,8958,7100,5011,2599,882,4260
Longford,2014,21445,0,299,999,1917,4976,4333,3554,3193,1646,528,2138
Louth,2014,62729,0,643,2379,5136,14528,14828,11329,8260,4355,1271,6006
Meath,2014,101765,0,1290,4138,7999,24282,25540,18145,12682,6057,1632,9106
Offaly,2014,41827,0,563,1950,3738,9730,9117,7506,5403,2878,942,4143
Westmeath,2014,47901,0,624,2080,4123,11148,10663,8692,6267,3276,1028,4568
Wexford,2014,83555,0,1255,3825,6948,18000,18176,15161,11492,6786,1912,8073
Wicklow,2014,77784,0,983,3059,5818,17006,18275,14773,10717,5677,1476,7544
Clare,2014,70126,0,1221,3422,5805,14987,15356,12695,10035,5114,1491,5556
Cork,2014,293550,0,4677,13586,24411,66501,63902,52648,39942,21252,6631,25839
Kerry,2014,86017,0,1321,3961,7390,18441,17547,15730,12841,6736,2050,6863
Limerick,2014,106362,0,1773,4863,9289,24747,22008,18663,14916,7832,2271,8976
Tipperary,2014,91387,0,1306,4197,7817,19710,18859,16633,13106,7310,2449,9069
Waterford,2014,63854,0,920,2826,5327,14532,13820,11434,8617,4885,1493,5888
Galway,2014,142499,0,1847,6529,12711,34563,31264,24674,18532,9596,2783,11532
Leitrim,2014,19098,0,331,970,1715,4112,3749,3449,2766,1515,491,1520
Mayo,2014,76678,0,1378,4093,7446,16454,14467,13718,11292,5954,1876,6191
Roscommon,2014,38038,0,704,1887,3487,7987,7343,6860,5645,3056,1069,2982
Sligo,2014,38531,0,645,1873,3388,8242,7419,7143,5851,2998,972,2711
Cavan,2014,40299,0,677,2064,3743,9218,8301,7149,5389,2818,940,4035
Donegal,2014,90568,0,1452,4601,8919,20179,18646,15544,12537,6779,1911,6825
